Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
HP,Notebook,4,Other,1.86,False,False,100.45466986113651,AMD Processor,500,0,AMD
Dell,2 in 1 Convertible,8,Windows,1.62,True,False,165.6321180513006,Intel Core i5,0,256,Intel
HP,Ultrabook,8,Windows,1.91,False,False,141.21199808219862,Intel Core i7,0,256,Intel
Dell,Notebook,4,Windows,2.3,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
Apple,Ultrabook,8,Mac,1.35,False,False,127.67794013309688,Intel Core i5,0,0,Intel
Dell,Notebook,8,Windows,2.2,False,False,141.21199808219862,Intel Core i5,0,256,AMD
Dell,Ultrabook,8,Windows,1.88,False,False,141.21199808219862,Intel Core i7,0,512,Intel
HP,Notebook,8,Windows,2.5,False,False,127.33567457123111,Intel Core i5,1000,0,Nvidia
Chuwi,Notebook,4,Windows,1.89,False,False,141.21199808219862,Other Intel Processor,0,0,Intel
Asus,Notebook,2,Windows,1.65,False,False,111.93520355955211,AMD Processor,0,0,AMD
HP,Notebook,4,Windows,2.71,False,False,127.33567457123111,AMD Processor,500,0,AMD
Dell,Ultrabook,16,Windows,1.2,True,False,276.053530085501,Intel Core i7,0,512,Intel
Apple,Ultrabook,8,Mac,1.35,False,False,127.67794013309688,Intel Core i5,0,0,Intel
Lenovo,Notebook,4,Windows,1.44,False,False,111.93520355955211,Other Intel Processor,0,0,Intel
Acer,Notebook,4,Other,2.1,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
Dell,Notebook,8,Windows,2.8,False,True,127.33567457123111,Intel Core i5,1000,128,AMD
HP,Notebook,4,Windows,1.86,False,False,100.45466986113651,Intel Core i5,1000,0,Intel
HP,Notebook,8,Windows,2.1,False,False,141.21199808219862,Intel Core i5,0,256,Nvidia
Asus,Notebook,4,Other,2.0,False,False,141.21199808219862,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.65,False,True,141.21199808219862,Intel Core i7,1000,256,Nvidia
Asus,Notebook,8,Other,2.3,False,False,100.45466986113651,Intel Core i5,1000,0,Nvidia
Acer,Notebook,4,Windows,2.2,False,True,141.21199808219862,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,12,Windows,2.77,True,False,127.33567457123111,Intel Core i5,1000,0,Nvidia
Apple,Ultrabook,8,Mac,1.37,False,True,226.98300468106115,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Other,2.2,False,False,100.45466986113651,Intel Core i3,0,128,Intel
Asus,Gaming,8,Windows,3.2,False,False,127.33567457123111,AMD Processor,1000,256,AMD
Dell,Notebook,4,Windows,2.3,False,False,141.21199808219862,Intel Core i5,0,256,AMD
Asus,Notebook,4,Windows,2.8,False,False,90.58340172449303,Other Intel Processor,1000,0,Nvidia
Lenovo,2 in 1 Convertible,4,Other,0.69,True,True,224.17380907857276,Other Intel Processor,0,0,Intel
Acer,Notebook,8,Windows,2.2,False,True,141.21199808219862,Intel Core i7,0,256,Nvidia
HP,Notebook,4,Windows,1.86,False,False,141.21199808219862,AMD Processor,0,256,AMD
HP,Notebook,8,Windows,1.49,False,False,165.6321180513006,Intel Core i7,0,512,Intel
Acer,Notebook,4,Windows,2.4,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
Dell,Notebook,8,Windows,2.13,False,False,141.21199808219862,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows,1.91,False,False,141.21199808219862,Intel Core i3,0,128,Intel
Asus,Notebook,4,Windows,2.0,False,False,100.45466986113651,Intel Core i5,0,256,Intel
MSI,Gaming,16,Windows,2.43,False,False,127.33567457123111,Intel Core i7,2000,256,Nvidia
Asus,Notebook,4,Other,2.0,False,False,141.21199808219862,Intel Core i3,0,256,Intel
Dell,Notebook,16,Windows,2.8,False,False,127.33567457123111,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows,1.7,False,False,157.3505121487356,Intel Core i5,0,256,Intel
Lenovo,Notebook,8,Other,1.7,False,True,157.3505121487356,Intel Core i3,0,256,Intel
Asus,Notebook,8,Windows,1.4,False,False,157.3505121487356,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.86,False,False,141.21199808219862,Intel Core i5,0,256,Intel
Asus,Ultrabook,16,Windows,1.8,False,False,141.21199808219862,Intel Core i7,0,512,Nvidia
HP,Notebook,4,Windows,1.86,False,False,100.45466986113651,Intel Core i3,500,0,AMD
HP,Notebook,4,Windows,1.44,False,False,111.93520355955211,Other Intel Processor,0,32,Intel
Lenovo,Notebook,4,Windows,1.9,False,False,141.21199808219862,Intel Core i5,1000,0,Intel
Asus,Gaming,12,Other,3.0,False,False,127.33567457123111,Intel Core i7,1000,0,Nvidia
Microsoft,Ultrabook,4,Windows,1.252,True,False,200.84255993695703,Intel Core i5,0,128,Intel
Dell,Ultrabook,8,Windows,1.4,False,True,165.6321180513006,Intel Core i7,0,256,AMD
Dell,Notebook,8,Windows,2.2,False,False,141.21199808219862,Intel Core i7,0,256,AMD
MSI,Gaming,8,Windows,2.7,False,False,127.33567457123111,Intel Core i5,1000,128,Nvidia
Acer,Notebook,8,Windows,2.1,False,False,111.93520355955211,Intel Core i3,1000,0,Intel
Asus,Gaming,8,Windows,2.2,False,False,141.21199808219862,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Other,2.2,False,False,141.21199808219862,Intel Core i5,2000,0,Intel
Dell,Notebook,8,Windows,2.02,False,False,141.21199808219862,Intel Core i7,1000,128,Intel
Acer,Notebook,4,Windows,2.2,False,False,141.21199808219862,Intel Core i3,1000,0,Nvidia
HP,Notebook,8,Windows,2.5,False,False,127.33567457123111,Intel Core i5,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.88,False,True,141.21199808219862,Intel Core i5,0,256,Intel
Apple,Ultrabook,8,Mac,0.92,False,True,226.41554716935852,Intel Core i5,0,512,Intel
HP,Notebook,8,Windows,1.63,False,False,157.3505121487356,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Windows,2.2,False,False,141.21199808219862,AMD Processor,0,128,AMD
Acer,Notebook,4,Windows,2.1,False,False,100.45466986113651,AMD Processor,1000,0,AMD
Dell,Gaming,16,Windows,2.65,False,True,141.21199808219862,Intel Core i7,1000,128,Nvidia
HP,Ultrabook,8,Windows,1.83,False,True,141.21199808219862,Intel Core i7,0,256,Nvidia
HP,Notebook,8,Windows,1.96,False,False,141.21199808219862,Intel Core i5,0,256,Intel
Asus,Gaming,16,Windows,2.2,False,True,141.21199808219862,Intel Core i7,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.21,False,True,165.6321180513006,Intel Core i7,0,256,Intel
